All calculations;C 2-29 MT ind;C 2-29 MT ind
"Time in s";"Total Active Power in MW";"Total Reactive Power in Mvar"
1.301667;0.043400;0.022009
1.311667;0.043400;0.022009
1.321667;0.043400;0.022009
1.331667;0.043400;0.022009
1.341667;0.043400;0.022009
1.351667;0.043400;0.022009
1.361667;0.043400;0.022009
1.371667;0.043400;0.022009
1.381667;0.043400;0.022009
1.391667;0.043400;0.022009
1.401667;0.043400;0.022009
1.411667;0.043400;0.022009
1.421667;0.043400;0.022009
1.431667;0.043400;0.022009
1.441667;0.043400;0.022009
1.451667;0.043400;0.022009
1.461667;0.043400;0.022009
1.471667;0.043400;0.022009
1.481667;0.043400;0.022009
1.491667;0.043400;0.022009
1.501667;0.043400;0.022009
1.511667;0.043400;0.022009
1.521667;0.043400;0.022009
1.531667;0.043400;0.022009
1.541667;0.043400;0.022009
1.551667;0.043400;0.022009
1.561667;0.043400;0.022009
1.571667;0.043400;0.022009
1.581667;0.043400;0.022009
1.591667;0.043400;0.022009
1.601667;0.043400;0.022009
1.611667;0.043400;0.022009
1.621667;0.043400;0.022009
1.631667;0.043400;0.022009
1.641667;0.043400;0.022009
1.651667;0.043400;0.022009
1.661667;0.043400;0.022009
1.671667;0.043400;0.022009
1.681667;0.043400;0.022009
1.691667;0.043400;0.022009
1.701667;0.043400;0.022009
1.711667;0.043400;0.022009
1.721667;0.043400;0.022009
1.731667;0.043400;0.022009
1.741667;0.043400;0.022009
1.751667;0.043400;0.022009
1.761667;0.043400;0.022009
1.771667;0.043400;0.022009
1.781667;0.043400;0.022009
1.791667;0.043400;0.022009
1.801667;0.043400;0.022009
1.811667;0.043400;0.022009
1.821667;0.043400;0.022009
1.831667;0.043400;0.022009
1.841667;0.043400;0.022009
1.851667;0.043400;0.022009
1.861667;0.043400;0.022009
1.871667;0.043400;0.022009
1.881667;0.043400;0.022009
1.891667;0.043400;0.022009
1.901667;0.043400;0.022009
1.911667;0.043400;0.022009
1.921667;0.043400;0.022009
1.931667;0.043400;0.022009
1.941667;0.043400;0.022009
1.951667;0.043400;0.022009
1.961667;0.043400;0.022009
1.971667;0.043400;0.022009
1.981667;0.043400;0.022009
1.991667;0.043400;0.022009
2.001667;0.043400;0.022009
2.011667;0.043400;0.022009
2.021667;0.043400;0.022009
2.031667;0.043400;0.022009
2.041667;0.043400;0.022009
2.051667;0.043400;0.022009
2.061667;0.043400;0.022009
2.071667;0.043400;0.022009
2.081667;0.043400;0.022009
2.091667;0.043400;0.022009
2.101667;0.043400;0.022009
2.111667;0.043400;0.022009
2.121667;0.043400;0.022009
2.131667;0.043400;0.022009
2.141667;0.043400;0.022009
2.151667;0.043400;0.022009
2.161667;0.043400;0.022009
2.171667;0.043400;0.022009
2.181667;0.043400;0.022009
2.191667;0.043400;0.022009
2.201667;0.043400;0.022009
2.211667;0.043400;0.022009
2.221667;0.043400;0.022009
2.231667;0.043400;0.022009
2.241667;0.043400;0.022009
2.251667;0.043400;0.022009
2.261667;0.043400;0.022009
2.271667;0.043400;0.022009
2.281667;0.043400;0.022009
2.291667;0.043400;0.022009
2.301667;0.043400;0.022009
2.311667;0.043400;0.022009
2.321667;0.043400;0.022009
2.331667;0.043400;0.022009
2.341667;0.043400;0.022009
2.351667;0.043400;0.022009
2.361667;0.043400;0.022009
2.371667;0.043400;0.022009
2.381667;0.043400;0.022009
2.391667;0.043400;0.022009
2.401667;0.043400;0.022009
2.411667;0.043400;0.022009
2.421667;0.043400;0.022009
2.431667;0.043400;0.022009
2.441667;0.043400;0.022009
2.451667;0.043400;0.022009
2.461667;0.043400;0.022009
2.471667;0.043400;0.022009
2.481667;0.043400;0.022009
2.491667;0.043400;0.022009
2.501667;0.043400;0.022009
2.511667;0.043400;0.022009
2.521667;0.043400;0.022009
2.531667;0.043400;0.022009
2.541667;0.043400;0.022009
2.551667;0.043400;0.022009
2.561667;0.043400;0.022009
2.571667;0.043400;0.022009
2.581667;0.043400;0.022009
2.591667;0.043400;0.022009
2.601667;0.043400;0.022009
2.611667;0.043400;0.022009
2.621667;0.043400;0.022009
2.631667;0.043400;0.022009
2.641667;0.043400;0.022009
2.651667;0.043400;0.022009
2.661667;0.043400;0.022009
2.671667;0.043400;0.022009
2.681667;0.043400;0.022009
2.691667;0.043400;0.022009
2.701667;0.043400;0.022009
2.711667;0.043400;0.022009
2.721667;0.043400;0.022009
2.731667;0.043400;0.022009
2.741667;0.043400;0.022009
2.751667;0.043400;0.022009
2.761667;0.043400;0.022009
2.771667;0.043400;0.022009
2.781667;0.043400;0.022009
2.791667;0.043400;0.022009
2.801667;0.043400;0.022009
2.811667;0.043400;0.022009
2.821667;0.043400;0.022009
2.831667;0.043400;0.022009
2.841667;0.043400;0.022009
2.851667;0.043400;0.022009
2.861667;0.043400;0.022009
2.871667;0.043400;0.022009
2.881667;0.043400;0.022009
2.891667;0.043400;0.022009
2.901667;0.043400;0.022009
2.911667;0.043400;0.022009
2.921667;0.043400;0.022009
2.931667;0.043400;0.022009
2.941667;0.043400;0.022009
2.951667;0.043400;0.022009
2.961667;0.043400;0.022009
2.971667;0.043400;0.022009
2.981667;0.043400;0.022009
2.991667;0.043400;0.022009
3.001667;0.043400;0.022009
3.011667;0.043400;0.022009
3.021667;0.043400;0.022009
3.031667;0.043400;0.022009
3.041667;0.043400;0.022009
3.051667;0.043400;0.022009
3.061667;0.043400;0.022009
3.071667;0.043400;0.022009
3.081667;0.043400;0.022009
3.091667;0.043400;0.022009
3.101667;0.043400;0.022009
3.111667;0.043400;0.022009
3.121667;0.043400;0.022009
3.131667;0.043400;0.022009
3.141667;0.043400;0.022009
3.151667;0.043400;0.022009
3.161667;0.043400;0.022009
3.171667;0.043400;0.022009
3.181667;0.043400;0.022009
3.191667;0.043400;0.022009
3.201667;0.043400;0.022009
3.211667;0.043400;0.022009
3.221667;0.043400;0.022009
3.231667;0.043400;0.022009
3.241667;0.043400;0.022009
3.251667;0.043400;0.022009
3.261667;0.043400;0.022009
3.271667;0.043400;0.022009
3.281667;0.043400;0.022009
3.291667;0.043400;0.022009
3.301667;0.043400;0.022009
3.311667;0.043400;0.022009
3.321667;0.043400;0.022009
3.331667;0.043400;0.022009
3.341667;0.043400;0.022009
3.351667;0.043400;0.022009
3.361667;0.043400;0.022009
3.371667;0.043400;0.022009
3.381667;0.043400;0.022009
3.391667;0.043400;0.022009
3.401667;0.043400;0.022009
3.411667;0.043400;0.022009
3.421667;0.043400;0.022009
3.431667;0.043400;0.022009
3.441667;0.043400;0.022009
3.451667;0.043400;0.022009
3.461667;0.043400;0.022009
3.471667;0.043400;0.022009
3.481667;0.043400;0.022009
3.491667;0.043400;0.022009
3.501667;0.043400;0.022009
3.511667;0.043400;0.022009
3.521667;0.043400;0.022009
3.531667;0.043400;0.022009
3.541667;0.043400;0.022009
3.551667;0.043400;0.022009
3.561667;0.043400;0.022009
3.571667;0.043400;0.022009
3.581667;0.043400;0.022009
3.591667;0.043400;0.022009
3.601667;0.043400;0.022009
3.611667;0.043400;0.022009
3.621667;0.043400;0.022009
3.631667;0.043400;0.022009
3.641667;0.043400;0.022009
3.651667;0.043400;0.022009
3.661667;0.043400;0.022009
3.671667;0.043400;0.022009
3.681667;0.043400;0.022009
3.691667;0.043400;0.022009
3.701667;0.043400;0.022009
3.711667;0.043400;0.022009
3.721667;0.043400;0.022009
3.731667;0.043400;0.022009
3.741667;0.043400;0.022009
3.751667;0.043400;0.022009
3.761667;0.043400;0.022009
3.771667;0.043400;0.022009
3.781667;0.043400;0.022009
3.791667;0.043400;0.022009
3.801667;0.043400;0.022009
3.811667;0.043400;0.022009
3.821667;0.043400;0.022009
3.831667;0.043400;0.022009
3.841667;0.043400;0.022009
3.851667;0.043400;0.022009
3.861667;0.043400;0.022009
3.871667;0.043400;0.022009
3.881667;0.043400;0.022009
3.891667;0.043400;0.022009
3.901667;0.043400;0.022009
3.911667;0.043400;0.022009
3.921667;0.043400;0.022009
3.931667;0.043400;0.022009
3.941667;0.043400;0.022009
3.951667;0.043400;0.022009
3.961667;0.043400;0.022009
3.971667;0.043400;0.022009
3.981667;0.043400;0.022009
3.991667;0.043400;0.022009
4.001667;0.043400;0.022009
4.011667;0.043400;0.022009
4.021667;0.043400;0.022009
4.031667;0.043400;0.022009
4.041667;0.043400;0.022009
4.051667;0.043400;0.022009
4.061667;0.043400;0.022009
4.071667;0.043400;0.022009
4.081667;0.043400;0.022009
4.091667;0.043400;0.022009
4.101667;0.043400;0.022009
4.111667;0.043400;0.022009
4.121667;0.043400;0.022009
4.131667;0.043400;0.022009
4.141667;0.043400;0.022009
4.151667;0.043400;0.022009
4.161667;0.043400;0.022009
4.171667;0.043400;0.022009
4.181667;0.043400;0.022009
4.191667;0.043400;0.022009
4.201667;0.043400;0.022009
4.211667;0.043400;0.022009
4.221667;0.043400;0.022009
4.231667;0.043400;0.022009
4.241667;0.043400;0.022009
4.251667;0.043400;0.022009
4.261667;0.043400;0.022009
4.271667;0.043400;0.022009
4.281667;0.043400;0.022009
4.291667;0.043400;0.022009
4.301667;0.043400;0.022009
4.311667;0.043400;0.022009
4.321667;0.043400;0.022009
4.331667;0.043400;0.022009
4.341667;0.043400;0.022009
4.351667;0.043400;0.022009
4.361667;0.043400;0.022009
4.371667;0.043400;0.022009
4.381667;0.043400;0.022009
4.391667;0.043400;0.022009
4.401667;0.043400;0.022009
4.411667;0.043400;0.022009
4.421667;0.043400;0.022009
4.431667;0.043400;0.022009
4.441667;0.043400;0.022009
4.451667;0.043400;0.022009
4.461667;0.043400;0.022009
4.471667;0.043400;0.022009
4.481667;0.043400;0.022009
4.491667;0.043400;0.022009
4.501667;0.043400;0.022009
4.511667;0.043400;0.022009
4.521667;0.043400;0.022009
4.531667;0.043400;0.022009
4.541667;0.043400;0.022009
4.551667;0.043400;0.022009
4.561667;0.043400;0.022009
4.571667;0.043400;0.022009
4.581667;0.043400;0.022009
4.591667;0.043400;0.022009
4.601667;0.043400;0.022009
4.611667;0.043400;0.022009
4.621667;0.043400;0.022009
4.631667;0.043400;0.022009
4.641667;0.043400;0.022009
4.651667;0.043400;0.022009
4.661667;0.043400;0.022009
4.671667;0.043400;0.022009
4.681667;0.043400;0.022009
4.691667;0.043400;0.022009
4.701667;0.043400;0.022009
4.711667;0.043400;0.022009
4.721667;0.043400;0.022009
4.731667;0.043400;0.022009
4.741667;0.043400;0.022009
4.751667;0.043400;0.022009
4.761667;0.043400;0.022009
4.771667;0.043400;0.022009
4.781667;0.043400;0.022009
4.791667;0.043400;0.022009
4.801667;0.043400;0.022009
4.811667;0.043400;0.022009
4.821667;0.043400;0.022009
4.831667;0.043400;0.022009
4.841667;0.043400;0.022009
4.851667;0.043400;0.022009
4.861667;0.043400;0.022009
4.871667;0.043400;0.022009
4.881667;0.043400;0.022009
4.891667;0.043400;0.022009
4.901667;0.043400;0.022009
4.911667;0.043400;0.022009
4.921667;0.043400;0.022009
4.931667;0.043400;0.022009
4.941667;0.043400;0.022009
4.951667;0.043400;0.022009
4.961667;0.043400;0.022009
4.971667;0.043400;0.022009
4.981667;0.043400;0.022009
4.991667;0.043400;0.022009
