All calculations;C 2-29 MT ind;C 2-29 MT ind;C 2-29 MT ind;C 2-29 MT ind;N28\N28;N29\N29 DG
"Time in s";"u1, Magnitude in p.u.";"Positive-Sequence Current, Magnitude in kA";"Total Active Power in MW";"Total Reactive Power in Mvar";"u1, Magnitude in p.u.";"u1, Magnitude in p.u."
1.151667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.161667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.171667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.181667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.191667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.201667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.211667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.221667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.231667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.241667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.251667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.261667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.271667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.281667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.291667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.301667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.311667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.321667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.331667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.341667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.351667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.361667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.371667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.381667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.391667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.401667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.411667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.421667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.431667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.441667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.451667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.461667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.471667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.481667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.491667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.501667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.511667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.521667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.531667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.541667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.551667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.561667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.571667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.581667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.591667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.601667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.611667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.621667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.631667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.641667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.651667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.661667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.671667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.681667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.691667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.701667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.711667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.721667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
