All calculations;C 2-29 MT ind;C 2-29 MT ind;N21\N21 DG;N23\N23 DG;N29\N29 DG
"b:tnow in s";"m:Psum:bus1 in MW";"m:Qsum:bus1 in Mvar";"m:u1 in p.u.";"m:u1 in p.u.";"m:u1 in p.u."
1.581667;0.156101;0.079861;1.024560;1.027362;1.050005
1.591667;0.156101;0.079861;1.024560;1.027362;1.050005
1.601667;0.156101;0.079861;1.024560;1.027362;1.050005
1.611667;0.156101;0.079861;1.024560;1.027362;1.050005
1.621667;0.156101;0.079861;1.024560;1.027362;1.050005
1.631667;0.156101;0.079861;1.024560;1.027362;1.050005
1.641667;0.156101;0.079861;1.024560;1.027362;1.050005
1.651667;0.156101;0.079861;1.024560;1.027362;1.050005
1.661667;0.156101;0.079861;1.024560;1.027362;1.050005
1.671667;0.156101;0.079861;1.024560;1.027362;1.050005
1.681667;0.156101;0.079861;1.024560;1.027362;1.050005
1.691667;0.156101;0.079861;1.024560;1.027362;1.050005
1.701667;0.156101;0.079861;1.024560;1.027362;1.050005
1.711667;0.156101;0.079861;1.024560;1.027362;1.050005
1.721667;0.156101;0.079861;1.024560;1.027362;1.050005
1.731667;0.156101;0.079861;1.024560;1.027362;1.050005
1.741667;0.156101;0.079861;1.024560;1.027362;1.050005
1.751667;0.156101;0.079861;1.024560;1.027362;1.050005
1.761667;0.156101;0.079861;1.024560;1.027362;1.050005
1.771667;0.156101;0.079861;1.024560;1.027362;1.050005
1.781667;0.156101;0.079861;1.024560;1.027362;1.050005
1.791667;0.156101;0.079861;1.024560;1.027362;1.050005
1.801667;0.156101;0.079861;1.024560;1.027362;1.050005
1.811667;0.156101;0.079861;1.024560;1.027362;1.050005
1.821667;0.156101;0.079861;1.024560;1.027362;1.050005
1.831667;0.156101;0.079861;1.024560;1.027362;1.050005
1.841667;0.156101;0.079861;1.024560;1.027362;1.050005
1.851667;0.156101;0.079861;1.024560;1.027362;1.050005
1.861667;0.156101;0.079861;1.024560;1.027362;1.050005
1.871667;0.156101;0.079861;1.024560;1.027362;1.050005
1.881667;0.156101;0.079861;1.024560;1.027362;1.050005
1.891667;0.156101;0.079861;1.024560;1.027362;1.050005
1.901667;0.156101;0.079861;1.024560;1.027362;1.050005
1.911667;0.156101;0.079861;1.024560;1.027362;1.050005
1.921667;0.156101;0.079861;1.024560;1.027362;1.050005
1.931667;0.156101;0.079861;1.024560;1.027362;1.050005
1.941667;0.156101;0.079861;1.024560;1.027362;1.050005
1.951667;0.156101;0.079861;1.024560;1.027362;1.050005
1.961667;0.156101;0.079861;1.024560;1.027362;1.050005
1.971667;0.156101;0.079861;1.024560;1.027362;1.050005
1.981667;0.156101;0.079861;1.024560;1.027362;1.050005
1.991667;0.156101;0.079861;1.024560;1.027362;1.050005
2.001667;0.156101;0.079861;1.024560;1.027362;1.050005
2.011667;0.156101;0.079861;1.024560;1.027362;1.050005
2.021667;0.156101;0.079861;1.024560;1.027362;1.050005
2.031667;0.156101;0.079861;1.024560;1.027362;1.050005
2.041667;0.156101;0.079861;1.024560;1.027362;1.050005
2.051667;0.156101;0.079861;1.024560;1.027362;1.050005
2.061667;0.156101;0.079861;1.024560;1.027362;1.050005
2.071667;0.156101;0.079861;1.024560;1.027362;1.050005
2.081667;0.156101;0.079861;1.024560;1.027362;1.050005
2.091667;0.156101;0.079861;1.024560;1.027362;1.050005
